document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
56,I think the purpose was to find tendencies in how people select their answers and to pair them with a reason.,0.2296817372557345,0.09727496194889976,0.0803344515287225,0.0626170501681339,0.0758575432403492,0.05109407077294173,0.07228187061189316
57,To see how certain people would think in different ways and how they pay attention to detail.,0.23495551066470835,0.08835400804258997,0.08440744932326999,0.061014735629786515,0.07574437656248718,0.05008431294511576,0.07458129235871704
58,To see how well people are able to read graphs.,1.358979047535823e-308,1.0,8.412370154923574e-309,1.2856832697523035e-308,1.2474309324034996e-308,1.0820542500844916e-308,1.0002383249851796e-308
59,to see what we can observe compared to the actual reading,0.1895344878780505,0.13942250731035713,0.07516169386236224,0.07730848871505819,0.08942410003603125,0.05888979414321305,0.07660352834355623
60,I think the purpose of the experiment was to see how students compare values (bars) in data sets (histogram) when viewing the histogram in 3-D vs a picture on the computer.,1.1608280104131594e-308,2.4678871283512204e-308,8.71051171334978e-309,1.0,1.2178731624252994e-308,9.84950168664504e-309,9.10887262731328e-309
61,The purpose was to compare how the general public sees data and how researchers see data.,0.24047057168638733,0.06775179962748877,0.13740844327942858,0.07261492654419194,0.08981230433955865,0.04826234817776167,0.06827915519621579
62,Determine if we can approximate the differences in sizes of objects,1.7091567610828205e-308,1.2798244286084714e-308,4.111718143699768e-308,1.212486658156118e-308,2.4682126676326653e-308,1.1107475315478336e-308,1.0
63,To see if we could notice the difference of the charts that we were looking at.,0.07592695065937524,0.6154176055091423,0.04836925266190848,0.06767534842506634,0.0704128124053607,0.06294030067743933,0.059257729661707705
64,To show how looking at a flat graph (2D) can change perception and values when looking at a physical graph (3D).,0.09165223058817484,0.18772574435003098,0.08232654374293719,0.09539648276545251,0.18566970195821614,0.19931954718791345,0.14720505315236565
65,I think the purpose of this experiment was to show us how experiments are conducted and generally how they look.,1.0,7.600372789419774e-309,3.960873301162615e-308,8.31006953333595e-309,1.0631806922637036e-308,6.21109989250548e-309,1.1098696766611534e-308
66,to see how answers can differentiate from different viewers,0.10698245844639719,0.1298175117148263,0.05033046336335801,0.05328784282520885,0.05866292902692653,0.04443161362492345,0.05334683267390688
67,This was to help us find and determine how to read graphs virtually and in a 3D form.,0.09006074866105682,0.17976221810832702,0.08209532003813398,0.09401082258044899,0.18808096147126319,0.20575957126096422,0.1495256616248962
68,to investigate people's differing perceptions on graph reading,1.1517856278444353e-308,1.0,7.722681103829284e-309,1.118272253962659e-308,1.268139719925739e-308,1.068218484452439e-308,9.02506439118136e-309
69,I think the purpose of this experiment was to test the accuracy of 3D and 2D graphs,1.1926630901584715e-308,1.302245427476592e-308,1.449807059338231e-308,1.2635984511402597e-308,1.0,2.0646814158338503e-308,2.5654274092897717e-308
70,"Truthfully, I'm not sure what the purpose of the experiment was. However, if I was to guess, I'd say it was like an experiment to see how well people can differentiate two things from one another.",3.763427528305786e-308,8.342622855897574e-309,1.0,8.89373516449989e-309,1.359784440331122e-308,6.97747967336586e-309,1.4943449365856967e-308
71,To see how we interpret unlabeled graphs,1.1476906542985373e-308,1.0,7.66143462588001e-309,1.1087581750574863e-308,1.2353770777078094e-308,1.0769661594189762e-308,9.122044433887833e-309
72,To learn how people comprehend graphs on a 3d and 2d scale.,0.0995086716988812,0.24378857143402832,0.0823878939672655,0.09964161721854259,0.16422970439943074,0.16595164488622896,0.13378720014071327
73,I think the purpose of the experiment was to see how people interpreted graphs differently based on if they were 2D or 3D.,1.1648570386771706e-308,1.3351062610744964e-308,1.375394303805627e-308,1.2540706320647803e-308,1.0,2.3150405336547917e-308,2.5561075164920833e-308
74,I think the purpose of the experiment was to measure how well the average statistics student can estimate differences in the size of data from visual data sets/graphs.,0.14560561918093334,0.10953833858793491,0.10049983074340708,0.11884128465707638,0.14351222682781423,0.07244087144488505,0.08619084090879109
75,I think the purpose of the experiment was to determine how the choices used when creating graphics of data affect the understanding of the data.,0.14950496421920872,0.1134534656399621,0.09991471443769538,0.11434744888664163,0.14138361043320438,0.07212654184151135,0.08589826689261845
76,To identify which age groups could recognize percentage differentiation in different images and models of charts,0.08439662903724984,0.3411137145335099,0.05150946305899149,0.09108516222388603,0.08318271731617523,0.0654710027608402,0.05918965220137395
77,"I think the purpose was to attempt estimating percentages in a bar graph. I also thought it was a way to see how close we can get to the right answer. I found myself making educated guesses more than probably getting the right answer, but it made me think critically. I think this was another goal as well, critically thing of the graphs we normally see.",0.08592236855587189,0.42404419508502245,0.05163045478651043,0.123566689758018,0.07571980167022742,0.06371145450723047,0.059182502769529265
78,To determine how different types of statistical charts are used and understood,0.14126748987441348,0.34531069044784224,0.08440468769048069,0.12046286099352892,0.12838693805612594,0.09121308749543854,0.08895424544217016
79,To test the depth of perception of each person as they estimated the distance between the shortest set of units and the tallest set of units in the set.,0.09433306955585544,0.06258299823845083,0.1054443247720645,0.05914533487394453,0.05395844365909905,0.035276139473611315,0.10704031429496137
80,"Figure out how well people can read graphics made online or if real world examples work better

 

 

 

I DONT KNOW WHERE TO PUT THE CODE SO HERE IT is 

project id 22579

complettion code is like 20 digits but the last is 22895",0.0692400162616647,0.09955648506298326,0.08108638153934361,0.07170555767768114,0.18569629609094668,0.1962688936092423,0.23754821285201208
81,To determine whether people can “eyeball” the correct proportion.,0.20148959382787693,0.043991014217380886,0.08185223152092932,0.04074776322935697,0.0416518444875478,0.026089635688772473,0.06311754777609513
82,To see how accurately people can determine dimensions based on different angles.,0.19737692417582547,0.11847406760987851,0.11371896137380394,0.0815093238992999,0.08322649092387013,0.0601489089026409,0.1298951919730028
83,"I think the purpose of this experiment is to determine whether or not people with knowledge/experience with statistics are ""better"" at estimating ratios by observing graphs and models.",1.0,1.157373817582402e-308,2.991510898410699e-308,1.2629098340551876e-308,1.369153825239328e-308,7.73320773884786e-309,1.429081904994962e-308
84,To see how different students estimate reading bar graphs with no units on the side to help them figure it out.,0.09731493127623159,0.48489006132162626,0.0612426506683901,0.11840299843596724,0.08560575014953387,0.0785009433193711,0.07404266482887978
85,To be able to judge and estimate the size of the the different columns an estimate how much smaller the short was was compared the bigger 100 sized one.,0.17376162341948306,0.07565192096540216,0.1827489036357893,0.06867631710268432,0.0709823273949527,0.04546923512600883,0.1431279830085226
86,To figure out if college students can accurately estimate the difference between two bars.,0.08768897042325928,0.5404207105908306,0.05366469344296793,0.11632833595166106,0.07355052888797806,0.06564367018682839,0.06270309051647455
87,I think it was to look at bar graphs in a way.,1.399769158669713e-308,1.0,9.38543002125725e-309,2.390925612918789e-308,1.3944071225873137e-308,1.2639451165323523e-308,1.1284694275714745e-308
88,I think the purpose of the experiment was to determine how a student interprets the size of a bar within a 3D graph model.,1.144945341625109e-308,2.5012482061753827e-308,8.63923485332812e-309,1.0,1.177397784255312e-308,9.67059611664731e-309,8.97541550185757e-309
89,I guess just to figure out how well people were at interpreting data that wasn't given to you based on what we had. Like how we were able to approximate how tall one of the towers was based on the other.,0.0983785536139319,0.08012627834949712,0.08371888722315915,0.06379155733687171,0.05365438433520953,0.04127088010771179,0.0968400839016058
90,I think the purpose was to determine how people interpret different charts and different percentages in relation to each other.,0.2975969235672037,0.13531161758022534,0.08916704034466158,0.08937476440496515,0.09387038008881093,0.05921707721858271,0.07480837351437084
91,To see if people understand 2D or 3D graphs better,0.0934026313985257,0.29895993581162417,0.06917494181351408,0.10912376502421237,0.1303943696186261,0.12354794770184893,0.09666042031802292
92,I think that I couldn't really find a true purpose other than collecting random data. The data was from different classes so it somehow connects with that.,0.48250533558996,0.06986782391222707,0.16009393137963604,0.07410213273274367,0.08866408567682889,0.05121302126107171,0.07355366944753242
93,To replicate partial results from Cleveland and Mcgill and to extend their study.,1.0,7.46278878410524e-309,2.2819268909298373e-308,8.126372467492965e-309,9.539531889454356e-309,5.84529569807141e-309,9.426780819765505e-309
94,see if people perceive graphs differently if online or in person. Also if 2d or 3d have effect on how it’s perceived.,1.194620000232787e-308,1.0,8.05302550249472e-309,1.135761937313217e-308,1.310193916313304e-308,1.1734193908953324e-308,1.000974316603104e-308
95,"The experiment aimed to see how well people can compare bar heights in different types of charts—2D digital, 3D digital, and 3D printed. The researchers wanted to find out if using physical 3D charts could help people make more accurate judgments, especially compared to the often-criticized 3D graphs on screens. They were testing whether hands-on, printed visuals might actually make understanding data easier.",7.15141841366115e-309,1.077049335569952e-308,7.743359992927985e-309,9.06832863044786e-309,1.8782212821965576e-308,1.0,1.374640009237853e-308
96,I think the purpose of the experiment was to investigate how well individuals can replicate models coming from two platforms (physical model to online model).,0.4848150662758629,0.0553206489517541,0.211220674132365,0.062077589644190266,0.07245639093137049,0.040485878753455044,0.0736237513110021
97,I think the purpose of the experiment was to see the difference between how someone can read a 2D or 3D graph.,1.2714085081852847e-308,1.371294068494211e-308,1.501732226399205e-308,1.3073184412081775e-308,1.0,1.994305074352191e-308,2.65107029237227e-308
