document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
18,"if students answer the bar amounts correctly, they will perform better with statistic material.",0.2698027061912021,0.2034406758292239,0.06161562994110654,0.3719002119019729,0.03200833752628535,0.05405281961656565
19,The hypothesis was to find out if the block was higher or lower than the other blocks.,1.92712558164251e-307,7.805611264641519e-308,3.24542149185205e-308,3.0338424289931106e-308,2.3792421515534944e-308,1.0
20,The hypothesis that could have been tested was that if there is extreme differences in between the stat we were supposed to read and its neighbor than we are more likely to exxagerate our guesses of its value.,1.0,1.0453164260832176e-307,2.8872649920778333e-308,6.856105611088663e-308,4.453827773573077e-308,4.36070405620357e-308
21,The experimenter may have been looking into a hypothesis that correlated around the fact that most of the experiment participants would be able to closely estimate values bases on their location within a given graph.,1.0,1.296277037560784e-307,3.122478294791697e-308,4.440940833650723e-308,4.853458163034434e-308,3.0526336957326214e-308
22,The experimenters hypothesis might have been can UNL students tell the difference between the different height of the 3D printed structures?,0.4134130675561245,0.2129786263632724,0.04859322156655081,0.055575931071421225,0.06489132716012544,0.05411362639603434
23,How do 3D charts compare to 2D charts.,1.2362368756104676e-307,1.0,2.5252681541361265e-308,2.589114822125625e-308,2.209938705922144e-308,1.7917064142901764e-308
24,The experimenter may have been testing the hypothesis that people were less accurate when estimating lengths on a 2D model than a 3D model.,1.0,1.2422968112489667e-307,3.305908947144072e-308,3.4088117751286086e-308,4.0286835173573576e-308,4.7162359804725415e-308
25,Does 2D vs 3D alter height perception? Does having a short vs tall object next to the one being measured alter peoples opinions of the height? How far off do people think objects are (error)?,1.0,1.1172090893340012e-307,4.1428132871654704e-308,2.895854009531604e-308,1.8909583906911526e-308,3.590331219112674e-308
26,"Null hypothesis: 2-D representations are just as accurate and effective at portraying numeric information as 3-D representations.

 

Alternative hypothesis: 2-D representations are more accurate and effective at portraying numeric information as 3-D representations.",1.789673448652606e-307,1.0,3.263612247854048e-308,3.8098609440669807e-308,2.8465500169190204e-308,2.6891486585489943e-308
27,Whether UNL students can accurately guess the correct number for the ratio of the triangle bar to the square bar in different models given.,0.174473133916639,0.1644970269356034,0.20369097212382703,0.06681024808368187,0.02152870274822074,0.03973692715418517
28,Can different students correctly guess the height of a graph,0.14170061035039339,0.12691037350008133,0.09893550254309645,0.03853945446397769,0.016310825944524394,0.03214077087902984
29,"I think the experimenter could be testing different IQ levels of individuals, whether a person is better at visualizing things in person or online. The experimenter could be testing whether an individual is good at comparing, measuring, and estimating images from a hands-on comparison.",1.0,1.0928285097747272e-307,2.8167686184212425e-308,3.7476994125470465e-308,5.22635642042984e-308,3.03738173148784e-308
30,"If point A is closer to point B, then the relevant height will be more accurate",0.3114803724517207,0.15587355131117758,0.09978618150824729,0.04852748243064985,0.029482656658641773,0.07639130403515818
31,"Null: Student estimate the right amount 50% of the time

Alternative: Students estimate the right amount more than 50% of the time.",0.28255512230930574,0.15388146065908298,0.045577664460165125,0.2031597236632826,0.030412447862971086,0.05440452924326
32,The hypothesis the experimenter might be testing is if people see the shapes as different or not.,0.557581290760813,0.17560558612001237,0.05233305925095434,0.053707734434920135,0.050729201767762466,0.08953756588964726
33,"Are people better able to estimate the amount of a certain quantity when they can touch it, versus only seeing it?",1.551743083691176e-307,1.0,2.8309772087079043e-308,3.6482531833708786e-308,2.5694721373228426e-308,2.5485450567098714e-308
34,Students with access to the 3D printed materials will have a better chance of guessing the correct answer than students who did it online only.,0.23949640893537327,0.1671247519899886,0.03156625569309452,0.037453335121410775,0.041981480925111364,0.03243086328818092
35,3D graphs will yield a higher percentage of correct answers when compared to 2D.,0.12754314741983175,0.777721124774443,0.026913665024198313,0.02817076469103157,0.020830374768716242,0.018820923321779294
36,"If students are given bar graphs and have to assume values based on other bars/graphs, then students will consistently use whole fractions? 

(Not sure what to put for this...)",0.19299769423578,0.3106346046559125,0.09751108498715903,0.0872452165040571,0.025537385588473384,0.03880238458630245
37,A hypothesis the experimenter could have been testing is if a graph is easier to interpret as a 3D model or as a 2D model for the average student at UNL.,0.4450938708181505,0.26074979791506203,0.04862061290278922,0.06429124094959461,0.09393475168346431,0.048653779043127024
38,Most college students cannot accurately assign correct data to the correct graph,0.17253499245918702,0.4049895397232902,0.057204542108221366,0.08548478754438403,0.023566479697073758,0.03291594319542573
39,Which colors make participants believe that parts of this block are taller than they actually are?,1.8219914481442206e-307,7.893130402099991e-308,3.42560588942515e-308,2.8365985076926207e-308,2.198013817861769e-308,1.0
